Masse - Plot 0	Strom - Plot 0	
69,359	0,044	
69,504	0,145	
69,668	0,145	
69,813	0,145	
69,977	0,095	
70,142	0,095	
70,288	0,145	
70,452	0,095	
70,599	0,044	
70,764	0,044	
70,929	0,095	
71,076	0,095	
71,241	0,145	
71,388	0,349	
71,554	0,757	
71,720	1,521	
71,868	2,183	
72,034	2,183	
72,182	1,622	
72,349	0,909	
72,516	0,4	
72,665	0,298	
72,832	0,4	
72,981	0,4	
73,149	0,298	
73,316	0,298	
73,466	0,4	
73,634	0,298	
73,784	0,349	
73,952	0,553	
74,121	0,502	
74,271	0,4	
74,440	0,4	
74,591	0,553	
74,761	0,604	
74,930	0,655	
75,081	0,706	
75,251	0,706	
75,403	0,604	
75,573	0,553	
75,744	0,349	
75,896	0,145	
76,067	0,145	
76,219	0,196	
76,390	0,247	
76,562	0,349	
76,714	0,298	
76,886	0,4	
77,039	0,4	
77,211	0,349	
77,384	0,349	
77,537	0,349	
77,710	0,298	
77,864	0,247	
78,037	0,145	
78,191	0,145	
78,365	0,145	
78,539	0,196	
78,693	0,145	
78,867	0,145	
79,022	0,145	
79,197	0,145	
79,371	0,247	
79,527	0,553	
79,702	0,604	
79,857	0,655	
80,033	0,655	
80,208	0,4	
80,365	0,196	
80,541	0,145	
80,697	0,196	
80,874	0,095	
81,050	0,095	
81,207	0,145	
81,384	0,196	
81,541	0,247	
81,719	0,349	
81,896	0,4	
82,054	0,349	
82,232	0,196	
82,390	0,095	
82,568	0,095	
82,746	0,095	
82,905	0,095	
83,084	0,044	
83,243	0,145	
83,422	0,095	
83,601	0,247	
83,761	0,349	
83,940	0,349	
84,100	0,349	
84,280	0,349	
84,460	0,196	
84,621	0,145	
84,801	0,095	
84,962	0,095	
85,143	0,145	
85,324	0,145	
85,485	0,095	
85,666	0,095	
85,828	0,044	
86,010	0,095	
86,171	0,247	
86,354	0,604	
86,536	1,011	
86,698	1,673	
86,881	2,386	
87,044	2,539	
87,227	2,335	
87,410	1,979	
87,573	1,673	
87,757	1,215	
87,920	0,604	
88,104	0,553	
88,288	0,909	
88,452	1,368	
88,637	1,979	
88,801	2,743	
88,986	3,201	
89,171	3,252	
89,336	2,896	
89,522	2,488	
89,687	1,877	
89,872	1,266	
90,059	0,808	
90,224	0,553	
90,410	0,604	
90,576	0,757	
90,763	0,808	
90,950	1,011	
91,116	1,164	
91,304	0,96	
91,471	0,808	
91,658	0,706	
91,846	0,553	
92,013	0,349	
92,202	0,196	
92,369	0,145	
92,558	0,145	
92,747	0,145	
92,915	0,095	
93,104	0,145	
93,272	0,095	
93,462	0,044	
93,651	0,145	
93,820	0,095	
94,010	0,044	
94,539	0,095	
94,730	0,095	
94,921	0,095	
95,091	0,145	
95,282	0,044	
95,453	0,145	
95,645	0,196	
95,836	0,349	
96,007	0,451	
96,200	0,502	
96,371	0,4	
96,563	0,145	
96,756	0,095	
96,928	0,196	
97,121	0,196	
97,293	0,145	
97,486	0,145	
97,680	0,044	
97,853	0,095	
98,047	0,196	
98,220	0,145	
98,414	0,095	
98,609	0,095	
98,782	0,095	
98,977	0,145	
99,151	0,044	
99,346	0,095	
99,542	0,145	
99,716	0,145	
99,912	0,095	
100,086	0,044	
100,282	0,095	
100,479	0,095	
100,654	0,044	
100,851	0,095	
101,026	0,145	
101,223	0,145	
101,421	0,095	
101,596	0,095	
101,794	0,044	
102,168	0,095	
102,367	0,095	
102,543	0,095	
102,742	0,095	
102,919	0,145	
103,118	0,145	
103,295	0,044	
103,494	0,095	
103,694	0,044	
103,872	0,095	
104,072	0,095	
104,250	0,095	
104,450	0,044	
104,539	0,095	
104,829	0,044	
104,941	0,044	
105,119	0,044	
105,321	0,095	
105,500	0,095	
105,701	0,145	
105,903	0,145	
106,082	0,145	
106,285	0,145	
106,464	0,145	
106,667	0,044	
106,870	0,145	
107,050	0,196	
107,253	0,196	
107,434	0,044	
107,637	0,095	
107,818	0,145	
108,022	0,196	
108,226	0,247	
108,407	0,196	
108,612	0,145	
108,793	0,145	
108,998	0,145	
109,203	0,145	
109,385	0,145	
109,591	0,095	
109,773	0,044	
109,979	0,095	
110,185	0,095	
110,368	0,044	
110,574	0,145	
110,757	0,145	
110,964	0,145	
111,171	0,145	
111,354	0,145	
111,562	0,145	
111,746	0,145	
111,953	0,145	
112,161	0,247	
112,346	0,095	
112,554	0,044	
112,739	0,095	
112,947	0,095	
113,156	0,095	
113,341	0,145	
113,550	0,145	
113,736	0,095	
113,945	0,145	
114,155	0,196	
114,341	0,196	
114,551	0,196	
114,738	0,196	
114,948	0,247	
115,158	0,298	
115,346	0,349	
115,556	0,247	
115,744	0,247	
115,955	0,247	
116,166	0,298	
116,354	0,298	
116,566	0,247	
116,754	0,247	
116,966	0,095	
117,179	0,196	
117,368	0,298	
117,580	0,298	
117,769	0,145	
117,982	0,145	
118,077	0,145	
118,385	0,145	
118,480	0,145	
118,599	0,145	
118,694	0,044	
118,599	0,044	
118,599	0,044	
118,694	0,044	
119,002	0,095	
119,098	0,044	
119,312	0,044	
119,502	0,044	
119,717	0,044	
119,812	0,145	
120,123	0,095	
120,218	0,095	
120,529	0,044	
120,649	0,095	
120,960	0,095	
121,056	0,095	
121,368	0,044	
121,777	0,044	
122,186	0,044	
122,282	0,044	
